Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention,Trust Factor,HR_std
16:54:00,33,72,2,1,0,3,1,0.388115863
16:54:01,34,72,2,1,0,3,1,0.388115863
16:54:02,35,72,2,1,0,3,1,0.388115863
16:54:03,36,72,2,1,0,3,1,0.388115863
16:54:04,37,72,2,1,0,3,1,0.388115863
16:54:05,38,72,2,1,0,3,1,0.388115863
16:54:06,39,72,2,1,0,3,1,0.388115863
16:54:07,40,72,2,1,0,3,1,0.388115863
16:54:08,41,72,2,1,0,3,1,0.388115863
16:54:09,42,72,2,1,0,3,1,0.388115863
16:54:10,43,67,2,1,0,3,1,-0.616282705
16:54:11,44,67,2,1,0,3,1,-0.616282705
16:54:12,45,67,2,1,0,3,1,-0.616282705
16:54:13,46,67,2,1,0,3,1,-0.616282705
16:54:14,47,67,2,1,0,3,1,-0.616282705
16:54:15,48,67,2,1,0,3,1,-0.616282705
16:54:16,49,67,2,1,0,3,1,-0.616282705
16:54:17,50,66,2,1,0,3,1,-0.817162419
16:54:18,51,66,2,1,0,3,1,-0.817162419
16:54:19,52,66,2,1,0,3,1,-0.817162419
16:54:20,53,66,2,1,0,3,1,-0.817162419
16:54:21,54,66,2,1,0,3,1,-0.817162419
16:54:22,55,66,2,1,0,3,1,-0.817162419
16:54:23,56,66,2,1,0,3,1,-0.817162419
16:54:24,57,66,2,1,0,3,1,-0.817162419
16:54:25,58,66,2,1,0,3,1,-0.817162419
16:54:26,59,65,2,1,0,3,1,-1.018042133
16:54:27,60,65,2,1,0,3,1,-1.018042133
16:54:28,61,65,2,1,0,3,1,-1.018042133
16:54:29,62,65,2,1,0,3,1,-1.018042133
16:54:30,63,63,2,1,0,3,1,-1.41980156
16:54:31,64,63,2,1,0,3,1,-1.41980156
16:54:32,65,63,2,1,0,3,1,-1.41980156
16:54:33,66,63,2,1,0,3,1,-1.41980156
16:54:34,67,63,2,1,0,3,1,-1.41980156
16:54:35,68,63,2,1,0,3,1,-1.41980156
